AirportCode	CityName	WorldAreaCode
BII	"BIKINI ATOLL MARSHALL ISLANDS     "	844
BIJ	"BILIAU           "	804
BIK	"BIAK                     "	832
BIL	"BILLINGS                "	84
BIM	"BIMINI                     "	204
BIN	"BAMIAN AFGHANISTAN                "	701
BIO	"BILBAO                       "	482
BIP	"BULIMBA             "	802
BIQ	"BIARRITZ                      "	427
BIR	"BIRATNAGAR                   "	755
BIS	"BISMARCK         "	66
BIT	"BAITADI                      "	755
BIU	"BILDUDALUR                 "	439
BIV	"BRIA CEN. AFRICAN EMPIRE          "	509
BIW	"BILLILUNA W.              "	802
BIX	"BILOXI              "	53
BIY	"BISHO                  "	562
BIZ	"BIMIN            "	804
BJA	"BEJAIA                      "	500
BJC	"BROOMFIELD              "	82
BJD	"BAKKAFJORDUR               "	439
BJF	"BATSFJORD                    "	465
BJG	"BOLAANG                  "	832
BJH	"BAJHANG                      "	755
BJI	"BEMIDJI MINNESOTA              "	63
BJJ	"WOOSTER                     "	44
BJK	"BENJINA                  "	832
BJL	"BANJUL GAMBIA                     "	527
BJM	"BUJUMBURA BURUNDI                 "	503
